,Video title,Comment,Processed_Comment
0,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Waaaah,waaaah
1,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Kareena 🥰❤️,kareena
2,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","That line of karina on <a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=85"">1:25</a> 🤣🤣🤣",line karina href
3,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",<b>This song added a lot of memories in my life... Finally going to marry a person whom I loved most....still my heart beats fast when I listen this song...</b>,bthis song added lot memory life finally going marry person loved moststill heart beat fast listen songb
4,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Teaser ke starting me kareena kis haathi ko maarne ki baat kr rhi hai wo toh teaser me shayad dikhaya hi nhi hai..... Asli villian,teaser ke starting kareena ki haathi ko maarne ki baat kr rhi hai wo toh teaser shayad dikhaya hi nhi hai asli villian
5,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Time machine se Arnold ki movie True lies action movie yaad aa gayi... aur Yogi CM ka parliament mein speech bhi,time machine se arnold ki movie true lie action movie yaad aa gayi aur yogi cm ka parliament mein speech bhi
6,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",deviyo aur haramiyo....what is this? things would have been burnt down had it been other way round?,deviyo aur haramiyowhat thing would burnt way round
7,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","<a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=2"">0:02</a> Randiyo aur sajjano 🤗",href randiyo aur sajjano
8,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",&quot;Deviyo aur Haramiyo&quot; can&#39;t believe of using such type of abusive comment to a certain gender....,quotdeviyo aur haramiyoquot cant believe using type abusive comment certain gender
9,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",tabbu ko to bhut ne chotta tha,tabbu ko bhut ne chotta tha
10,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","karena ke khandaan me sab mard harami hoge, aur aurate ase pant me hath dalti firte h",karena ke khandaan sab mard harami hoge aur aurate ase pant hath dalti firte h
11,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","Another disaster.<br><br>Aap jaa rahe ho na film dekhne, to mat jaao.<br><br>Audacity and entitlement will be taught a lesson.",another disasterbrbraap jaa rahe ho na film dekhne mat jaaobrbraudacity entitlement taught lesson
12,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",not going to warch by using harami word into the movie,going warch using harami word movie
13,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Ab kriti bhi budhi ho rahi hai,ab kriti bhi budhi ho rahi hai
14,"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Finally a female lead movie that actually looks good i live Hindi moves,finally female lead movie actually look good live hindi move
15,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,The innocence of Geet and The Maturity of Aaditya = This combination is❤️,innocence geet maturity aaditya combination
16,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vibes by adityaaaaaa👀,vibe adityaaaaaa
17,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I want wanna Aditya not a Kabir Singh,want wan na aditya kabir singh
18,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This song is ❤🤍💙💚💛🧡💜🤎🖤,song
19,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,How many people get this movie without any search 🤔,many people get movie without search
20,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,milenge.... milenge......,milenge milenge
22,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,All time favorite 😍 movie,time favorite movie
23,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,"<a href=""https://www.youtube.com/watch?v=jf2gOSORoqU&amp;t=2860"">47:40</a>",href
24,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I m watching this 1 March 2023 for the very first time .. can&#39;t describe my emotions .totally masterpiece,watching march first time cant describe emotion totally masterpiece
25,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Muje pheli baar Kareena Kapoor itni achi lagi h ❤️,muje pheli baar kareena kapoor itni achi lagi h
26,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This movie is like JANNAT OF ALL THE TIME ❤ <br>Each and every dialogue each and every song was just so so special for me and the innocent ADITYA KASHYAP i just love him!!! Always JAB WE MET💕,movie like jannat time breach every dialogue every song special innocent aditya kashyap love always jab met
27,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Just watched in theatre for the firt time. What an experience. I have watched in phone earlier. But the experience I got in a theatre is unimaginable. I have a very special connection to this film.,watched theatre firt time experience watched phone earlier experience got theatre unimaginable special connection film
28,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vidu are you here ??,vidu
29,Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,in kabir singh era i want aditya in my life,kabir singh era want aditya life
30,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Am i the only one here who didn&#39;t watched even part 1 of this series😂😂,one didnt watched even part series
31,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Release date plz,release date plz
32,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Desperately waiting for this one ❤❤❤😍😍😍 vikrant is just amazing 😍😍😍😍❤❤,desperately waiting one vikrant amazing
33,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Abhi part 1 khtm kiya Netflix ji kya movie thi<br>Abhi part 2💀,abhi part khtm kiya netflix ji kya movie thibrabhi part
34,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Can’t wait omggggggggggg,cant wait omggggggggggg
35,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting waiting,waiting waiting
36,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Damnnnnn,damnnnnn
37,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Why harshvardhan missing,harshvardhan missing
38,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Vikrant bhai🫶🏻✨,vikrant bhai
39,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting,waiting
40,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Harshvardhan Rane Is Missing 😢,harshvardhan rane missing
41,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Story of Haseen dilruba movie is amazing and the suspense hidden in it can make anyone interested ❤❤❤,story haseen dilruba movie amazing suspense hidden make anyone interested
42,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",All okay but im definitely missing Harshvardhan Rane,okay im definitely missing harshvardhan rane
43,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",The first part was a copy of &#39;A Lamb to Slaughter&#39; by &#39;Roald Dahl&#39;. Ab dusri original hogi ya wo bhi copy hogi?,first part copy lamb slaughter roald dahl ab dusri original hogi ya wo bhi copy hogi
44,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India","Is this part 2, or a repeat?",part repeat
