Video title,Comment,Processed_Comment,English_Translation,Polarity,Sentiment,Aspects_Sentiments
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Waaaah,waaaah,waaaah,0.0,Neutral,{}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Kareena 🥰❤️,kareena,kareena,0.0,Neutral,{}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","That line of karina on <a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=85"">1:25</a> 🤣🤣🤣",line karina href,Line Karina Href,0.0,Neutral,{'Line': 'Neutral'}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",<b>This song added a lot of memories in my life... Finally going to marry a person whom I loved most....still my heart beats fast when I listen this song...</b>,bthis song added lot memory life finally going marry person loved moststill heart beat fast listen songb,This song added to memory life finally Going Marry Person Loved Most Still Heart Beat Fast Listen Songb,0.8548,Positive,"{'song': 'Neutral', 'memory': 'Neutral', 'life': 'Neutral'}"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Teaser ke starting me kareena kis haathi ko maarne ki baat kr rhi hai wo toh teaser me shayad dikhaya hi nhi hai..... Asli villian,teaser ke starting kareena ki haathi ko maarne ki baat kr rhi hai wo toh teaser shayad dikhaya hi nhi hai asli villian,"The teaser's starting Kareena is talking about killing the elephant, that teaser may not have shown the real will",-0.7506,Negative,"{'teaser': 'Neutral', 'elephant': 'Neutral'}"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Time machine se Arnold ki movie True lies action movie yaad aa gayi... aur Yogi CM ka parliament mein speech bhi,time machine se arnold ki movie true lie action movie yaad aa gayi aur yogi cm ka parliament mein speech bhi,"Arnold's action movie was remembered by Time Machine, and Yogi is also a speech in low parliament",-0.2732,Negative,"{'action': 'Positive', 'movie': 'Positive', 'speech': 'Neutral', 'parliament': 'Neutral'}"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",deviyo aur haramiyo....what is this? things would have been burnt down had it been other way round?,deviyo aur haramiyowhat thing would burnt way round,Ladies and Harmeos,0.0,Neutral,{'Ladies': 'Neutral'}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","<a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=2"">0:02</a> Randiyo aur sajjano 🤗",href randiyo aur sajjano,All the randio and gentlemen,0.0,Neutral,"{'randio': 'Neutral', 'gentlemen': 'Neutral'}"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",&quot;Deviyo aur Haramiyo&quot; can&#39;t believe of using such type of abusive comment to a certain gender....,quotdeviyo aur haramiyoquot cant believe using type abusive comment certain gender,Kotdevio and Hermiocot Kant Belivusing Type Abusive Comment Certain Gender,-0.4767,Negative,{'Comment': 'Neutral'}
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",tabbu ko to bhut ne chotta tha,tabbu ko bhut ne chotta tha,Tabu was hurt by Bhuta,-0.5267,Negative,{}
