Video title,Comment,Processed_Comment,English_Translation
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Waaaah,waaaah,waaaah
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Kareena 🥰❤️,kareena,kareena
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","That line of karina on <a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=85"">1:25</a> 🤣🤣🤣",line karina href,Line Karina Href
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",<b>This song added a lot of memories in my life... Finally going to marry a person whom I loved most....still my heart beats fast when I listen this song...</b>,bthis song added lot memory life finally going marry person loved moststill heart beat fast listen songb,This song added to memory life finally Going Marry Person Loved Most Still Heart Beat Fast Listen Songb
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Teaser ke starting me kareena kis haathi ko maarne ki baat kr rhi hai wo toh teaser me shayad dikhaya hi nhi hai..... Asli villian,teaser ke starting kareena ki haathi ko maarne ki baat kr rhi hai wo toh teaser shayad dikhaya hi nhi hai asli villian,"The teaser's starting Kareena is talking about killing the elephant, that teaser may not have shown the real will"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Time machine se Arnold ki movie True lies action movie yaad aa gayi... aur Yogi CM ka parliament mein speech bhi,time machine se arnold ki movie true lie action movie yaad aa gayi aur yogi cm ka parliament mein speech bhi,"Arnold's action movie was remembered by Time Machine, and Yogi is also a speech in low parliament"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",deviyo aur haramiyo....what is this? things would have been burnt down had it been other way round?,deviyo aur haramiyowhat thing would burnt way round,Ladies and Harmeos
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","<a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=2"">0:02</a> Randiyo aur sajjano 🤗",href randiyo aur sajjano,All the randio and gentlemen
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",&quot;Deviyo aur Haramiyo&quot; can&#39;t believe of using such type of abusive comment to a certain gender....,quotdeviyo aur haramiyoquot cant believe using type abusive comment certain gender,Kotdevio and Hermiocot Kant Belivusing Type Abusive Comment Certain Gender
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",tabbu ko to bhut ne chotta tha,tabbu ko bhut ne chotta tha,Tabu was hurt by Bhuta
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","karena ke khandaan me sab mard harami hoge, aur aurate ase pant me hath dalti firte h",karena ke khandaan sab mard harami hoge aur aurate ase pant hath dalti firte h,All men will be bastard to do this and waves are putting hands.
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","Another disaster.<br><br>Aap jaa rahe ho na film dekhne, to mat jaao.<br><br>Audacity and entitlement will be taught a lesson.",another disasterbrbraap jaa rahe ho na film dekhne mat jaaobrbraudacity entitlement taught lesson,"You are going to watch the film, not watching the film"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",not going to warch by using harami word into the movie,going warch using harami word movie,Going Warch Using Harami Word Movie
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Ab kriti bhi budhi ho rahi hai,ab kriti bhi budhi ho rahi hai,Now the work is also getting old
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Finally a female lead movie that actually looks good i live Hindi moves,finally female lead movie actually look good live hindi move,Finally Female Lead Movie Actually Look Good Live Hindi Movie
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,The innocence of Geet and The Maturity of Aaditya = This combination is❤️,innocence geet maturity aaditya combination,Innocence geet maturity aaditya combination
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vibes by adityaaaaaa👀,vibe adityaaaaaa,vibe adityaaaaa
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I want wanna Aditya not a Kabir Singh,want wan na aditya kabir singh,Want wan na aditya kabir singh
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This song is ❤🤍💙💚💛🧡💜🤎🖤,song,song
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,How many people get this movie without any search 🤔,many people get movie without search,Many people get movie without search
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,milenge.... milenge......,milenge milenge,We will definitely meet
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,All time favorite 😍 movie,time favorite movie,Time favorite movie
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,"<a href=""https://www.youtube.com/watch?v=jf2gOSORoqU&amp;t=2860"">47:40</a>",href,href
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I m watching this 1 March 2023 for the very first time .. can&#39;t describe my emotions .totally masterpiece,watching march first time cant describe emotion totally masterpiece,Watching March First Time Cant Describe Emotion Totally MasterPiece
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Muje pheli baar Kareena Kapoor itni achi lagi h ❤️,muje pheli baar kareena kapoor itni achi lagi h,I liked Kareena Kapoor so much for the first time
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This movie is like JANNAT OF ALL THE TIME ❤ <br>Each and every dialogue each and every song was just so so special for me and the innocent ADITYA KASHYAP i just love him!!! Always JAB WE MET💕,movie like jannat time breach every dialogue every song special innocent aditya kashyap love always jab met,Movie Like Jannat Time Breach Every Dialogue Every Song Special Innocent Aditya Kashyap Love Always Jab Met
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Just watched in theatre for the firt time. What an experience. I have watched in phone earlier. But the experience I got in a theatre is unimaginable. I have a very special connection to this film.,watched theatre firt time experience watched phone earlier experience got theatre unimaginable special connection film,Watched theater first time experience Watched phone Earlier Experience Got TheATRE Unimaginable Special Connection Film
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vidu are you here ??,vidu,vidu
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,in kabir singh era i want aditya in my life,kabir singh era want aditya life,Kabir Singh Era Want Aditya Life
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Am i the only one here who didn&#39;t watched even part 1 of this series😂😂,one didnt watched even part series,One Didnt Watched even Part Series
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Release date plz,release date plz,release date plz
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Desperately waiting for this one ❤❤❤😍😍😍 vikrant is just amazing 😍😍😍😍❤❤,desperately waiting one vikrant amazing,desperately waiting one vikrant amazing
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Abhi part 1 khtm kiya Netflix ji kya movie thi<br>Abhi part 2💀,abhi part khtm kiya netflix ji kya movie thibrabhi part,"Right now Netflix Ji, what movie Thibrabhi Part"
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Can’t wait omggggggggggg,cant wait omggggggggggg,Cant Wait OmGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting waiting,waiting waiting,Waiting waiting
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Damnnnnn,damnnnnn,damnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Why harshvardhan missing,harshvardhan missing,Harshvardhan Missing
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Vikrant bhai🫶🏻✨,vikrant bhai,Vikrant Bhai
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting,waiting,Waiting
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Harshvardhan Rane Is Missing 😢,harshvardhan rane missing,Harshvardhan Rane Missing
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Story of Haseen dilruba movie is amazing and the suspense hidden in it can make anyone interested ❤❤❤,story haseen dilruba movie amazing suspense hidden make anyone interested,Story Haseen Dilruba Movie Amazing Suspense Hidden Make Anyone Interated
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",All okay but im definitely missing Harshvardhan Rane,okay im definitely missing harshvardhan rane,okay im definitely missing harshvardhan rane
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",The first part was a copy of &#39;A Lamb to Slaughter&#39; by &#39;Roald Dahl&#39;. Ab dusri original hogi ya wo bhi copy hogi?,first part copy lamb slaughter roald dahl ab dusri original hogi ya wo bhi copy hogi,First Part Copy Lamb Slotter Roald Dahal will now be the other original or that too will be copied
"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India","Is this part 2, or a repeat?",part repeat,part reepeat
Ae Watan Mere Watan - Official Trailer | Prime Video India,Looks really promising but only thing not withstanding is Sara ali,look really promising thing withstanding sara ali,Look really promising thing withstanding sara ali
Ae Watan Mere Watan - Official Trailer | Prime Video India,Angrejo kaa raaj accha tha <br>Sahi hua tha vo aaye the agar vo naa aate aaj hum sab namaj padh re hote aur terrorism ka sabse bada production house india me chal raha hota,angrejo kaa raaj accha tha brsahi hua tha vo aaye agar vo naa aate aaj hum sab namaj padh hote aur terrorism ka sabse bada production house india chal raha hota,"The rule of the British was good, it was a year, if they did not come, today we would have all read Namaz and the biggest production house of Terrorism would have been going on India."
Ae Watan Mere Watan - Official Trailer | Prime Video India,Wow! Bahut kuch kaha Angrezon ka Sahara le kar 😂<br>Samajhne waale samajh gaye ...😅,wow bahut kuch kaha angrezon ka sahara le kar brsamajhne waale samajh gaye,"Wao said a lot, and the people who were resorting to the British understood"
Ae Watan Mere Watan - Official Trailer | Prime Video India,Ae Watan Mere Watan 🔥❤🔥,ae watan mere watan,Aye country my country
Ae Watan Mere Watan - Official Trailer | Prime Video India,"Charkha Chala ke Azadi Nahin I Thi.....I Thi Bhagat Singh Khudiram Bose ,Netaji jasa mahan log aur Azad Hind Fauj ke liye",charkha chala ke azadi nahin thii thi bhagat singh khudiram bose netaji jasa mahan log aur azad hind fauj ke liye,There was no freedom of charkha chala Bhagat Singh Khudiram Bose Netaji and for Azad Hind Fauj
Ae Watan Mere Watan - Official Trailer | Prime Video India,I would watch this movie to see if Sara&#39;s acting got any better.,would watch movie see saras acting got better,Wold Watch Movie See Saras Acting Got Better
Ae Watan Mere Watan - Official Trailer | Prime Video India,Heroin galat choose kr liye,heroin galat choose kr liye,Heroin wrong suck
