Video title,Comment,Processed_Comment,English_Translation,Tokenized_POS
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Waaaah,waaaah,waaaah,"[('waaaah', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Kareena 🥰❤️,kareena,kareena,"[('kareena', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","That line of karina on <a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=85"">1:25</a> 🤣🤣🤣",line karina href,Line Karina Href,"[('Line', 'NOUN'), ('Karina', 'PROPN'), ('Href', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",<b>This song added a lot of memories in my life... Finally going to marry a person whom I loved most....still my heart beats fast when I listen this song...</b>,bthis song added lot memory life finally going marry person loved moststill heart beat fast listen songb,This song added to memory life finally Going Marry Person Loved Most Still Heart Beat Fast Listen Songb,"[('This', 'DET'), ('song', 'NOUN'), ('added', 'VERB'), ('to', 'ADP'), ('memory', 'NOUN'), ('life', 'NOUN'), ('finally', 'ADV'), ('Going', 'VERB'), ('Marry', 'PROPN'), ('Person', 'PROPN'), ('Loved', 'VERB'), ('Most', 'ADJ'), ('Still', 'PROPN'), ('Heart', 'PROPN'), ('Beat', 'VERB'), ('Fast', 'PROPN'), ('Listen', 'PROPN'), ('Songb', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Teaser ke starting me kareena kis haathi ko maarne ki baat kr rhi hai wo toh teaser me shayad dikhaya hi nhi hai..... Asli villian,teaser ke starting kareena ki haathi ko maarne ki baat kr rhi hai wo toh teaser shayad dikhaya hi nhi hai asli villian,"The teaser's starting Kareena is talking about killing the elephant, that teaser may not have shown the real will","[('The', 'DET'), ('teaser', 'NOUN'), (""'s"", 'PART'), ('starting', 'VERB'), ('Kareena', 'PROPN'), ('is', 'AUX'), ('talking', 'VERB'), ('about', 'ADP'), ('killing', 'VERB'), ('the', 'DET'), ('elephant', 'NOUN'), (',', 'PUNCT'), ('that', 'SCONJ'), ('teaser', 'NOUN'), ('may', 'AUX'), ('not', 'PART'), ('have', 'AUX'), ('shown', 'VERB'), ('the', 'DET'), ('real', 'ADJ'), ('will', 'AUX')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Time machine se Arnold ki movie True lies action movie yaad aa gayi... aur Yogi CM ka parliament mein speech bhi,time machine se arnold ki movie true lie action movie yaad aa gayi aur yogi cm ka parliament mein speech bhi,"Arnold's action movie was remembered by Time Machine, and Yogi is also a speech in low parliament","[('Arnold', 'PROPN'), (""'s"", 'PART'), ('action', 'NOUN'), ('movie', 'NOUN'), ('was', 'AUX'), ('remembered', 'VERB'), ('by', 'ADP'), ('Time', 'PROPN'), ('Machine', 'PROPN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('Yogi', 'PROPN'), ('is', 'AUX'), ('also', 'ADV'), ('a', 'DET'), ('speech', 'NOUN'), ('in', 'ADP'), ('low', 'ADJ'), ('parliament', 'NOUN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",deviyo aur haramiyo....what is this? things would have been burnt down had it been other way round?,deviyo aur haramiyowhat thing would burnt way round,Ladies and Harmeos,"[('Ladies', 'NOUN'), ('and', 'CCONJ'), ('Harmeos', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","<a href=""https://www.youtube.com/watch?v=P-qozw4K87s&amp;t=2"">0:02</a> Randiyo aur sajjano 🤗",href randiyo aur sajjano,All the randio and gentlemen,"[('All', 'DET'), ('the', 'DET'), ('randio', 'NOUN'), ('and', 'CCONJ'), ('gentlemen', 'NOUN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",&quot;Deviyo aur Haramiyo&quot; can&#39;t believe of using such type of abusive comment to a certain gender....,quotdeviyo aur haramiyoquot cant believe using type abusive comment certain gender,Kotdevio and Hermiocot Kant Belivusing Type Abusive Comment Certain Gender,"[('Kotdevio', 'PROPN'), ('and', 'CCONJ'), ('Hermiocot', 'PROPN'), ('Kant', 'PROPN'), ('Belivusing', 'PROPN'), ('Type', 'PROPN'), ('Abusive', 'PROPN'), ('Comment', 'NOUN'), ('Certain', 'ADJ'), ('Gender', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",tabbu ko to bhut ne chotta tha,tabbu ko bhut ne chotta tha,Tabu was hurt by Bhuta,"[('Tabu', 'PROPN'), ('was', 'AUX'), ('hurt', 'VERB'), ('by', 'ADP'), ('Bhuta', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","karena ke khandaan me sab mard harami hoge, aur aurate ase pant me hath dalti firte h",karena ke khandaan sab mard harami hoge aur aurate ase pant hath dalti firte h,All men will be bastard to do this and waves are putting hands.,"[('All', 'DET'), ('men', 'NOUN'), ('will', 'AUX'), ('be', 'AUX'), ('bastard', 'ADJ'), ('to', 'PART'), ('do', 'VERB'), ('this', 'PRON'), ('and', 'CCONJ'), ('waves', 'NOUN'), ('are', 'AUX'), ('putting', 'VERB'), ('hands', 'NOUN'), ('.', 'PUNCT')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29","Another disaster.<br><br>Aap jaa rahe ho na film dekhne, to mat jaao.<br><br>Audacity and entitlement will be taught a lesson.",another disasterbrbraap jaa rahe ho na film dekhne mat jaaobrbraudacity entitlement taught lesson,"You are going to watch the film, not watching the film","[('You', 'PRON'), ('are', 'AUX'), ('going', 'VERB'), ('to', 'PART'), ('watch', 'VERB'), ('the', 'DET'), ('film', 'NOUN'), (',', 'PUNCT'), ('not', 'PART'), ('watching', 'VERB'), ('the', 'DET'), ('film', 'NOUN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",not going to warch by using harami word into the movie,going warch using harami word movie,Going Warch Using Harami Word Movie,"[('Going', 'VERB'), ('Warch', 'PROPN'), ('Using', 'VERB'), ('Harami', 'PROPN'), ('Word', 'PROPN'), ('Movie', 'PROPN')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Ab kriti bhi budhi ho rahi hai,ab kriti bhi budhi ho rahi hai,Now the work is also getting old,"[('Now', 'ADV'), ('the', 'DET'), ('work', 'NOUN'), ('is', 'AUX'), ('also', 'ADV'), ('getting', 'VERB'), ('old', 'ADJ')]"
"Crew | Teaser | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Finally a female lead movie that actually looks good i live Hindi moves,finally female lead movie actually look good live hindi move,Finally Female Lead Movie Actually Look Good Live Hindi Movie,"[('Finally', 'ADV'), ('Female', 'PROPN'), ('Lead', 'PROPN'), ('Movie', 'PROPN'), ('Actually', 'ADV'), ('Look', 'VERB'), ('Good', 'ADJ'), ('Live', 'ADV'), ('Hindi', 'PROPN'), ('Movie', 'PROPN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,The innocence of Geet and The Maturity of Aaditya = This combination is❤️,innocence geet maturity aaditya combination,Innocence geet maturity aaditya combination,"[('Innocence', 'NOUN'), ('geet', 'NOUN'), ('maturity', 'NOUN'), ('aaditya', 'NOUN'), ('combination', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,Vibes by adityaaaaaa👀,vibe adityaaaaaa,vibe adityaaaaa,"[('vibe', 'NOUN'), ('adityaaaaa', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,I want wanna Aditya not a Kabir Singh,want wan na aditya kabir singh,Want wan na aditya kabir singh,"[('Want', 'VERB'), ('wan', 'VERB'), ('na', 'ADP'), ('aditya', 'PROPN'), ('kabir', 'PROPN'), ('singh', 'PROPN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,This song is ❤🤍💙💚💛🧡💜🤎🖤,song,song,"[('song', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,How many people get this movie without any search 🤔,many people get movie without search,Many people get movie without search,"[('Many', 'ADJ'), ('people', 'NOUN'), ('get', 'VERB'), ('movie', 'NOUN'), ('without', 'ADP'), ('search', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,milenge.... milenge......,milenge milenge,We will definitely meet,"[('We', 'PRON'), ('will', 'AUX'), ('definitely', 'ADV'), ('meet', 'VERB')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,All time favorite 😍 movie,time favorite movie,Time favorite movie,"[('Time', 'NOUN'), ('favorite', 'ADJ'), ('movie', 'NOUN')]"
Jab We Met | Full Movie | Kareena Kapoor | Shahid Kapoor | Bollywood Movie,"<a href=""https://www.youtube.com/watch?v=jf2gOSORoqU&amp;t=2860"">47:40</a>",href,href,"[('href', 'VERB')]"
